ADM1_NAME,ADM2_NAME,mean
Haryana,Karnal,0.510641560661878
Haryana,Kurukshetra,0.5209950790337738
Haryana,Mahendragarh,0.42755692622713437
Haryana,Sonepat,0.4770893836706024
Haryana,Kaithal,0.5129052440504451
Haryana,Panipat,0.48363462601265983
Haryana,Rewari,0.43021620899594176
Haryana,Yamuna Nagar,0.5458806422060575
Rajasthan,Bharatpur,0.41782472319297903
Rajasthan,Dhaulpur,0.39351671943342925
Jharkhand,Purba Singhbhum,0.5524194179447368
Uttar Pradesh,Gorakhpur,0.44213919986516453
Uttar Pradesh,Maharajganj,0.5235075983753439
Rajasthan,Kota,0.422897361047114
Rajasthan,Baran,0.4241551246683244
Meghalaya,East Khasi Hills,0.6251000636578636
Meghalaya,West Garo Hills,0.6918118465576159
Meghalaya,Ri-Bhoi,0.6909313810467919
Meghalaya,South Garo Hills,0.7031117314847277
Punjab,Patiala,0.5233589183562438
Punjab,Rupnagar,0.5367042445864827
Punjab,Fatehgarh Sahib,0.5384683792849726
West Bengal,Dakshin Dinajpur,0.5219321638298547
West Bengal,Uttar Dinajpur,0.5415950352460335
Haryana,Ambala,0.5168698844029245
Haryana,Panchkula,0.5543528578411604
Uttar Pradesh,Deoria,0.45651983456961176
Uttar Pradesh,Kushinagar,0.48114124772424255
Punjab,Bathinda,0.5135835819239988
Punjab,Hoshiarpur,0.5587008303987635
Punjab,Mansa,0.51179244833602
Punjab,Muktsar,0.5138102337335085
Punjab,Nawan Shehar,0.5352203052963486
Tripura,North Tripura,0.7043271637291058
Tripura,South Tripura,0.6884016502430533
Tripura,Dhalai,0.726039757865552
Uttar Pradesh,Hamirpur,0.4255184349021913
Uttar Pradesh,Mahoba,0.4224961346641747
Punjab,Faridkot,0.5175469046712128
Punjab,Moga,0.5303965699941016
Rajasthan,Jaipur,0.37034907057338134
Rajasthan,Udaipur,0.46825895508463644
Rajasthan,Dausa,0.4018618990381767
Rajasthan,Rajsamand,0.4370752226883816
Uttar Pradesh,Bahraich,0.4894961952920849
Uttar Pradesh,Faizabad,0.49248057077865265
Uttar Pradesh,Ambedkar Nagar,0.48089745520337734
Uttar Pradesh,Sant Ravi Das Nagar,0.4644433677589709
Uttar Pradesh,Shravasti,0.5128398364308397
Uttarakhand,Naini Tal,0.6585567653399835
Uttarakhand,Udham Singh Nagar,0.5588968011137121
Manipur,East Imphal,0.5682222475060786
Manipur,West Imphal,0.4754725783130024
Rajasthan,Sawai Madhopur,0.41044720768513987
Rajasthan,Karauli,0.3970509538627588
Uttar Pradesh,Aligarh,0.4805466421544417
Uttar Pradesh,Allahabad,0.4689411349033187
Uttar Pradesh,Banda,0.4303274386943663
Uttar Pradesh,Gonda,0.49657380988259125
Uttar Pradesh,Mathura,0.4572791785166473
Uttar Pradesh,Moradabad,0.5279068564723396
Uttar Pradesh,Varanasi,0.45786198767402264
Uttar Pradesh,Balrampur,0.5088996702446978
Uttar Pradesh,Chandauli,0.47512512989972827
Uttar Pradesh,Chitrakoot,0.4664795692486069
Uttar Pradesh,Hathras,0.46037203961913636
Uttar Pradesh,Jyotiba Phule Nagar,0.5372392986459341
Uttar Pradesh,Kaushambi,0.46185881377224863
