timestamp,dataset,step,column_affected,issue_found,action_taken,rows_affected,validation_result,analyst_notes
2026-04-30T15:19:59.263171+00:00,test_dataset,verify_step,HW70,DHS code 9999 present,Replaced with NaN,100,PASS,Verification row — safe to ignore
2026-04-30T15:23:10.989483+00:00,test_dataset,verify_step,HW70,DHS code 9999 present,Replaced with NaN,100,PASS,Verification row — safe to ignore
2026-04-30T15:24:49.185360+00:00,test_dataset,verify_step,HW70,DHS code 9999 present,Replaced with NaN,100,PASS,Verification row — safe to ignore
2026-04-30T15:51:43.115071+00:00,nfhs5_kr,create_labels,"stunted, underweight, wasted",No binary target columns in raw data,Created from Z-scores using WHO thresholds (<-2.0). Dropped 0 rows with all Z-scores NaN.,0,PASS,"Stunted: 40.0%, Underweight: 40.0%, Wasted: 20.0%"
2026-04-30T15:51:43.131459+00:00,nfhs5_kr,create_labels,"stunted, underweight, wasted",No binary target columns in raw data,Created from Z-scores using WHO thresholds (<-2.0). Dropped 0 rows with all Z-scores NaN.,0,PASS,"Stunted: 40.0%, Underweight: 40.0%, Wasted: 20.0%"
2026-04-30T15:51:43.139793+00:00,nfhs5_kr,create_labels,"stunted, underweight, wasted",No binary target columns in raw data,Created from Z-scores using WHO thresholds (<-2.0). Dropped 0 rows with all Z-scores NaN.,0,PASS,"Stunted: 40.0%, Underweight: 40.0%, Wasted: 20.0%"
2026-04-30T15:51:43.153998+00:00,nfhs5_kr,create_labels,"stunted, underweight, wasted",No binary target columns in raw data,Created from Z-scores using WHO thresholds (<-2.0). Dropped 0 rows with all Z-scores NaN.,0,PASS,"Stunted: 40.0%, Underweight: 40.0%, Wasted: 20.0%"
2026-04-30T15:51:43.161647+00:00,nfhs5_kr,create_labels,"stunted, underweight, wasted",No binary target columns in raw data,Created from Z-scores using WHO thresholds (<-2.0). Dropped 1 rows with all Z-scores NaN.,1,PASS,"Stunted: 50.0%, Underweight: 50.0%, Wasted: 50.0%"
2026-04-30T15:51:43.168923+00:00,nfhs5_kr,create_labels,"stunted, underweight, wasted",No binary target columns in raw data,Created from Z-scores using WHO thresholds (<-2.0). Dropped 0 rows with all Z-scores NaN.,0,PASS,"Stunted: 0.0%, Underweight: 100.0%, Wasted: 0.0%"
2026-04-30T15:52:09.272245+00:00,nfhs5_kr,create_labels,"stunted, underweight, wasted",No binary target columns in raw data,Created from Z-scores using WHO thresholds (<-2.0). Dropped 0 rows with all Z-scores NaN.,0,PASS,"Stunted: 40.0%, Underweight: 40.0%, Wasted: 20.0%"
2026-04-30T15:52:09.277036+00:00,nfhs5_kr,create_labels,"stunted, underweight, wasted",No binary target columns in raw data,Created from Z-scores using WHO thresholds (<-2.0). Dropped 0 rows with all Z-scores NaN.,0,PASS,"Stunted: 40.0%, Underweight: 40.0%, Wasted: 20.0%"
2026-04-30T15:52:09.281724+00:00,nfhs5_kr,create_labels,"stunted, underweight, wasted",No binary target columns in raw data,Created from Z-scores using WHO thresholds (<-2.0). Dropped 0 rows with all Z-scores NaN.,0,PASS,"Stunted: 40.0%, Underweight: 40.0%, Wasted: 20.0%"
2026-04-30T15:52:09.291693+00:00,nfhs5_kr,create_labels,"stunted, underweight, wasted",No binary target columns in raw data,Created from Z-scores using WHO thresholds (<-2.0). Dropped 0 rows with all Z-scores NaN.,0,PASS,"Stunted: 40.0%, Underweight: 40.0%, Wasted: 20.0%"
2026-04-30T15:52:09.303663+00:00,nfhs5_kr,create_labels,"stunted, underweight, wasted",No binary target columns in raw data,Created from Z-scores using WHO thresholds (<-2.0). Dropped 1 rows with all Z-scores NaN.,1,PASS,"Stunted: 50.0%, Underweight: 50.0%, Wasted: 50.0%"
2026-04-30T15:52:09.313389+00:00,nfhs5_kr,create_labels,"stunted, underweight, wasted",No binary target columns in raw data,Created from Z-scores using WHO thresholds (<-2.0). Dropped 0 rows with all Z-scores NaN.,0,PASS,"Stunted: 0.0%, Underweight: 100.0%, Wasted: 0.0%"
