V024,delta_haz_per_year,delta_waz_per_year,delta_whz_per_year
1,-1.436152778022104,-1.4693596190787017,-1.4732885605187482
2,-0.30665406799158634,-0.25305688923532377,-0.21755793447295532
3,-1.843813206560971,-1.8363192255705032,-1.8152447104081042
4,-0.9635022515019239,-0.9711295057800557,-1.006504907165503
5,-0.9427169046360836,-0.9216533593743349,-0.9535992474309375
6,-0.1216028491177692,-0.08743728691758558,-0.07181784748923938
7,-0.8606739909360738,-0.7923888567799163,-0.787510370334321
8,-2.027463110365008,-2.028375889943246,-2.016763966051532
9,-1.9788816823310678,-1.900942986646866,-1.7677068994660294
10,-1.9778203297297867,-1.9581073479739632,-1.8425610864639992
11,-1.4038398042968812,-1.3007692880178245,-1.263665094007386
12,-1.5127147565214547,-1.4293378097672413,-1.4189754348066417
13,-0.9189083693853749,-0.9303488182399974,-0.9164110170862391
14,-1.2898695780603862,-1.3025962384233631,-1.2967602654213346
15,-1.5472375369221967,-1.3885750384698543,-1.358435929302323
16,-2.0020786064611533,-1.9580153387819383,-1.8946078729536187
17,-1.6710184629789793,-1.5580893439384673,-1.4102177155980522
18,-0.6020935153218949,-0.6684659964939038,-0.6572582332822074
19,-1.2040154682861413,-1.2042509626656297,-1.1957722723959994
20,-1.8005435368901501,-1.793635267714922,-1.7167779573123871
21,-0.4251851474594321,-0.5455858986371,-0.5636228711994634
22,-1.48958495554194,-1.5558208684974932,-1.56291416911604
23,-1.0249807683876242,-1.1405338907803972,-1.141254258642948
24,-1.1055668611200542,-1.2261412507534188,-1.2018581755230073
25,-1.4804859171999631,-1.4763763673216264,-1.402992885922937
27,-1.9899712178839108,-2.0796083523703968,-2.0529876131544893
28,-1.046764320990051,-1.0580898236540437,-1.0230831938469471
29,-1.0508646912197146,-1.0801376082494385,-1.0721876733676605
30,-1.0729005028401961,-1.1869363805623863,-1.199982859867273
31,-1.9840189269903745,-1.9611419288151746,-1.860169972889353
32,-0.9026693317976621,-0.8808727635646052,-0.8562016952166501
33,-0.7145100797649735,-0.7532774263748705,-0.8083958405323277
34,-1.6742707353599346,-1.6329704685681845,-1.5985079272490117
35,-0.6172096031704087,-0.6771325039028021,-0.6566882073719655
36,-0.4099091790713593,-0.44062695851348777,-0.41696601989689464
