label,sensitive_feature,group_value,fnr,recall,fnr_exceeds_tolerance
stunted,wealth_quintile,1,0.0078,0.9922,False
stunted,wealth_quintile,2,0.0082,0.9918,False
stunted,wealth_quintile,3,0.0074,0.9926,False
stunted,wealth_quintile,4,0.0081,0.9919,False
stunted,wealth_quintile,5,0.0084,0.9916,False
stunted,aspirational_dist,0,0.0081,0.9919,False
underweight,wealth_quintile,1,0.0061,0.9939,False
underweight,wealth_quintile,2,0.0125,0.9875,False
underweight,wealth_quintile,3,0.0077,0.9923,False
underweight,wealth_quintile,4,0.0074,0.9926,False
underweight,wealth_quintile,5,0.0074,0.9926,False
underweight,aspirational_dist,0,0.0082,0.9918,False
wasted,wealth_quintile,1,0.0099,0.9901,False
wasted,wealth_quintile,2,0.0095,0.9905,False
wasted,wealth_quintile,3,0.0085,0.9915,False
wasted,wealth_quintile,4,0.0078,0.9922,False
wasted,wealth_quintile,5,0.0101,0.9899,False
wasted,aspirational_dist,0,0.0091,0.9909,False
