label,sensitive_feature,group_value,fnr,recall,fnr_exceeds_tolerance,model
stunted,child_sex,1.0,0.008,0.992,False,centralised
stunted,child_sex,2.0,0.0081,0.9919,False,centralised
underweight,child_sex,1.0,0.0076,0.9924,False,centralised
underweight,child_sex,2.0,0.0089,0.9911,False,centralised
wasted,child_sex,1.0,0.0084,0.9916,False,centralised
wasted,child_sex,2.0,0.0098,0.9902,False,centralised
stunted,child_sex,1.0,0.0066,0.9934,False,federated
stunted,child_sex,2.0,0.0071,0.9929,False,federated
underweight,child_sex,1.0,0.0076,0.9924,False,federated
underweight,child_sex,2.0,0.0082,0.9918,False,federated
wasted,child_sex,1.0,0.0092,0.9908,False,federated
wasted,child_sex,2.0,0.0098,0.9902,False,federated
