state_name,records,with_satellite,coverage_pct
Andaman and Nicobar Islands,461,0,0.0
Andhra Pradesh,2803,2803,100.0
Arunachal Pradesh,5509,5509,100.0
Assam,10540,10540,100.0
Bihar,20179,20179,100.0
Chandigarh,174,174,100.0
Chhattisgarh,8310,8310,100.0
Daman and Diu,795,795,100.0
Delhi,2931,2931,100.0
Goa,369,369,100.0
Gujarat,9753,9753,100.0
Haryana,6817,6817,100.0
Himachal Pradesh,2622,2622,100.0
Jammu And Kashmir,5837,0,0.0
Jharkhand,9859,9859,100.0
Karnataka,8246,8246,100.0
Kerala,2734,2734,100.0
Ladakh,528,0,0.0
Lakshadweep,276,276,100.0
Madhya Pradesh,15847,15847,100.0
Maharashtra,9411,9411,100.0
Manipur,3198,3198,100.0
Meghalaya,6522,6522,100.0
Mizoram,2451,2451,100.0
Nagaland,3006,3006,100.0
Odisha,8419,0,0.0
Puducherry,765,765,100.0
Punjab,5553,5553,100.0
Rajasthan,14426,14426,100.0
Sikkim,619,619,100.0
Tamil Nadu,6471,6471,100.0
Telangana,7208,0,0.0
Tripura,2061,2061,100.0
Uttar Pradesh,34330,34330,100.0
Uttarakhand,3733,3733,100.0
West Bengal,5593,5593,100.0
